Handling Time Coefficients
 'ConLevel' = Constraint Percentage, 'Window'of 0.1 = 2hrs24min
Prey with no 'N' are matched to other species by taxonomy only
"Pred","Prey","N","ConLevel","Window","Type","logIntC","logPredSizeC","logPreySizeC","logTempC","IntC","PredSizeC","PreySizeC","TempC","R2","Sigma","Pvalue"
"Haustrum haustorium","Patelloida corticata",48,0.2,0.1,"Unweighted",8.481493,-3.383449,2.033824,0.072593,4824.649942,0.03393,7.643256,1.075293,0.455252473087097,0.693903974978787,5.85162932198457e-06
"Haustrum haustorium","Patelloida corticata",48,0.2,0.1,"Weighted",8.345121,-3.220138,1.916001,0.005086,4209.591727,0.03995,6.793737,1.005099,0.425815679452776,2.25736979165486,1.80685846306039e-05
"Haustrum haustorium","Patelloida corticata",52,0.3,0.1,"Unweighted",9.294522,-3.767028,2.216976,0.142011,10878.269108,0.023121,9.179531,1.152589,0.431236890878411,0.791508360749138,4.96602197985752e-06
"Haustrum haustorium","Patelloida corticata",52,0.3,0.1,"Weighted",8.554049,-3.322223,1.970169,0.021425,5187.716717,0.036073,7.171891,1.021656,0.42351632720913,2.25880186977690,6.80708439659838e-06
"Haustrum haustorium","Patelloida corticata",52,0.5,0.1,"Unweighted",9.294522,-3.767028,2.216976,0.142011,10878.269108,0.023121,9.179531,1.152589,0.431236890878411,0.791508360749138,4.96602197985752e-06
"Haustrum haustorium","Patelloida corticata",52,0.5,0.1,"Weighted",8.554049,-3.322223,1.970169,0.021425,5187.716717,0.036073,7.171891,1.021656,0.42351632720913,2.25880186977690,6.80708439659838e-06
"Haustrum haustorium","Patelloida corticata",66,0.8,0.1,"Unweighted",10.385462,-3.085386,1.750709,-0.665076,32385.377795,0.045712,5.758686,0.514234,0.310379147533660,0.841292351447166,3.63558487250781e-05
"Haustrum haustorium","Patelloida corticata",66,0.8,0.1,"Weighted",8.962659,-3.156181,1.865755,-0.23467,7806.086764,0.042588,6.460813,0.790832,0.378853370221921,2.14396883971125,1.55711577265460e-06
"Haustrum haustorium","Plaxiphora caelata",19,0.1,0.1,"Unweighted",5.966859,-2.530432,2.233858,0.129185,390.277831,0.079625,9.335814,1.137901,0.424262242253787,0.52349328109257,0.0361150618835399
"Haustrum haustorium","Plaxiphora caelata",19,0.1,0.1,"Weighted",5.573576,-2.404209,2.082368,0.232602,263.374325,0.090337,8.023448,1.26188,0.405254486955182,1.74559078309661,0.045274052499894
"Haustrum haustorium","Plaxiphora caelata",20,0.2,0.1,"Unweighted",5.935321,-2.578428,2.267731,0.171974,378.1613,0.075893,9.657465,1.187647,0.467906446647059,0.507365758020257,0.0155543922631400
"Haustrum haustorium","Plaxiphora caelata",20,0.2,0.1,"Weighted",5.561674,-2.424032,2.096012,0.250156,260.258222,0.088564,8.133668,1.284226,0.419036163572372,1.69109560478183,0.0300783992134692
"Haustrum haustorium","Plaxiphora caelata",21,0.3,0.1,"Unweighted",5.894021,-2.301465,1.998896,0.062896,362.861258,0.100112,7.380907,1.064916,0.468006775756434,0.503152565777839,0.0116145244649628
"Haustrum haustorium","Plaxiphora caelata",21,0.3,0.1,"Weighted",5.539958,-2.348287,2.026824,0.220847,254.667349,0.095533,7.589939,1.247132,0.421832662812414,1.64804512611824,0.0226069317709583
"Haustrum haustorium","Plaxiphora caelata",23,0.5,0.1,"Unweighted",5.781033,-2.42639,2.053285,0.213278,324.093718,0.088355,7.793462,1.237728,0.491435960082766,0.489926062125168,0.00430494237888412
"Haustrum haustorium","Plaxiphora caelata",23,0.5,0.1,"Weighted",5.560408,-2.377015,2.042249,0.23645,259.928834,0.092827,7.707926,1.266744,0.427912675833435,1.56579402749828,0.0124433928886238
"Haustrum haustorium","Plaxiphora caelata",25,0.8,0.1,"Unweighted",6.698553,-2.176063,1.84828,-0.238539,811.23087,0.113487,6.348892,0.787778,0.46468919728077,0.4826118476732,0.00382297521798192
"Haustrum haustorium","Plaxiphora caelata",25,0.8,0.1,"Weighted",5.894865,-2.282518,1.961409,0.071125,363.16785,0.102027,7.109336,1.073716,0.415550553068202,1.50720966256742,0.00917879936212462
"Haustrum haustorium","Risellopsis varia",26,0.1,0.1,"Unweighted",3.191501,0.205912,0.673456,-0.540508,24.32491,1.228645,1.961003,0.582452,0.108059142421456,0.593754984748715,0.462526485009612
